,JMST
symbol,JMST
price,50.79
beta,0
volAvg,659267
mktCap,0
lastDiv,0.469
range,50.21-50.88
changes,0.09
companyName,JPMorgan Ultra-Short Municipal Income ETF
currency,USD
cik,
isin,US46641Q6540
cusip,46641Q654
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"Under normal circumstances, the fund invests at least 80% of its assets in municipal securities, the income from which is exempt from federal income tax. For purposes of this policy, ""Assets"" means net assets, plus the amount of borrowings for investment purposes. Up to 100% of the fund's assets may be invested in short-term municipal instruments such as variable rate demand notes, short-term municipal notes and tax-exempt commercial paper."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JMST.png
ipoDate,2018-10-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
