,PJUN
symbol,PJUN
price,30.64
beta,0
volAvg,40773
mktCap,0
lastDiv,0
range,28.06-32.382
changes,0.19
companyName,Innovator S&P 500 Power Buffer ETF - New
currency,USD
cik,
isin,US45782C7487
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund invests at least 80% of its net assets in FLexible EXchange® Options (""FLEX Options"") that reference the SPDR® S&P 500® ETF Trust. FLEX Options are exchange-traded options contracts with uniquely customizable terms. Although guaranteed for settlement by the Options Clearing Corporation, FLEX Options are still subject to counterparty risk with the OCC and may be less liquid than more traditional exchange-traded options. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PJUN.png
ipoDate,2019-06-03
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
