,SMIN
symbol,SMIN
price,51.95
beta,0
volAvg,50434
mktCap,0
lastDiv,0.004
range,47.61-60.74
changes,1.39
companyName,iShares MSCI India Small-Cap ETF
currency,USD
cik,
isin,US46429B6149
cusip,46429B614
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The index is designed to measure the performance of equity securities of small-capitalization companies in the Indian equity market.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SMIN.png
ipoDate,2012-02-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
