,KWEB
symbol,KWEB
price,33.87
beta,0
volAvg,22063154
mktCap,0
lastDiv,2.58
range,17.22-38.985
changes,-0.24
companyName,KraneShares CSI China Internet ETF
currency,USD
cik,
isin,US5007673065
cusip,500767306
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its net assets in instruments in its underlying index or in instruments that have economic characteristics similar to those in the underlying index. The index is designed to measure the equity market performance of investable publicly traded ""China-based companies"" whose primary business or businesses are in the Internet and Internet-related sectors, and are listed outside of Mainland China, as determined by the index provider. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KWEB.png
ipoDate,2013-07-31
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
