,IYLD
symbol,IYLD
price,20.11
beta,0
volAvg,80329
mktCap,0
lastDiv,0.807
range,17.83-23.58
changes,0.16
companyName,iShares Morningstar Multi-Asset Income ETF
currency,USD
cik,
isin,US46432F8757
cusip,46432F875
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is broadly diversified and seeks to deliver high current income while maintaining long-term capital appreciation. The fund is a fund-of-funds and invests primarily in the securities of the underlying funds that themselves seek investment results corresponding to their own underlying indexes.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IYLD.png
ipoDate,2012-04-05
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
