,KMLM
symbol,KMLM
price,29.67
beta,0
volAvg,189832
mktCap,0
lastDiv,2.481
range,27.91-40.46
changes,-0.01
companyName,KFA Mount Lucas Index Strategy ETF
currency,USD
cik,
isin,US5007676522
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to achieve its goal by investing in commodity, currency, and global fixed income futures contracts traded on U.S. and foreign exchanges that are the same as or similar to those included in the index. It may also invest directly and indirectly in certain debt instruments. The index measures the performance of a portfolio of commodity, currency, and global fixed income futures contracts traded on U.S. and foreign exchanges using a trend following methodology. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KMLM.png
ipoDate,2020-12-02
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
