,IWY
symbol,IWY
price,130.49
beta,0
volAvg,286595
mktCap,0
lastDiv,1.0590000000000002
range,114.66-163.3
changes,2.08
companyName,iShares Russell Top 200 Growth ETF
currency,USD
cik,
isin,US4642894384
cusip,464289438
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents,."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IWY.png
ipoDate,2009-09-22
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
