,XEC.TO
symbol,XEC.TO
price,25.89
beta,0
volAvg,23443
mktCap,0
lastDiv,0.532
range,21.98-29.66
changes,-0.23
companyName,iShares Core MSCI Emerging Markets IMI Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XEC.TO.png
ipoDate,2013-04-15
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
