,KRE
symbol,KRE
price,63.2123
beta,0
volAvg,7032500
mktCap,0
lastDiv,1.4729999999999999
range,56.09-76.24
changes,1.0923
companyName,SPDR S&P Regional Banking ETF
currency,USD
cik,
isin,US78464A6982
cusip,78464A698
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"In seeking to track the performance of the S&P Regional Banks Select Industry Index (the ""index""), the fund employs a sampling strategy. It generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index. The index represents the regional banks segment of the S&P Total Market Index (""S&P TMI"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KRE.png
ipoDate,2006-06-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
