,CTEC
symbol,CTEC
price,16.71
beta,0
volAvg,28067
mktCap,1071548083
lastDiv,0.037
range,11.72-17.917
changes,0.52
companyName,Global X CleanTech ETF
currency,USD
cik,
isin,US37954Y2283
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund invests at least 80% of its total assets, plus borrowings for investments purposes, in the securities of the index and in ADRs, GDRs based on the securities in the index. The index is designed to provide exposure to exchange-listed companies that are positioned to benefit from the increased adoption of technologies focused on improving the efficiency of renewable energy production and/or mitigating the adverse environmental effects of resource consumption. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CTEC.png
ipoDate,2020-10-29
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
