,FXA
symbol,FXA
price,69.9
beta,0
volAvg,11968
mktCap,111491688
lastDiv,0.06
range,61.33-75.88
changes,0.0131
companyName,Invesco CurrencyShares Australian Dollar Trust
currency,USD
cik,0001353614
isin,US46090N1037
cusip,46090N103
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The Shares are intended to provide institutional and retail investors with a simple, cost-effective means of gaining investment benefits similar to those of holding Australian Dollars. The costs of purchasing Shares should not exceed the costs associated with purchasing any other publicly-traded equity securities."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,5.0088
dcf,65.3614
image,https://financialmodelingprep.com/image-stock/FXA.png
ipoDate,2006-06-21
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
