,DGRW
symbol,DGRW
price,62.985
beta,0
volAvg,486781
mktCap,2902467653
lastDiv,1.29
range,53.69-65.12
changes,0.565
companyName,WisdomTree U.S. Quality Dividend Growth Fund
currency,USD
cik,
isin,US97717X6691
cusip,97717X669
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal circumstances, at least 80% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that consists of dividend-paying U.S. common stocks with growth characteristics. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DGRW.png
ipoDate,2013-05-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
