,MOAT
symbol,MOAT
price,72.595
beta,0
volAvg,440003
mktCap,0
lastDiv,0.812
range,57.27-76.57
changes,1.425
companyName,VanEck Morningstar Wide Moat ETF
currency,USD
cik,
isin,US92189F6438
cusip,92189F643
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of securities issued by companies that Morningstar, Inc. (""Morningstar"") determines to have sustainable competitive advantages based on a proprietary methodology that considers quantitative and qualitative factors (""wide moat companies"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/MOAT.png
ipoDate,2012-04-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
