,ZWH.TO
symbol,ZWH.TO
price,21.82
beta,0
volAvg,23858
mktCap,0
lastDiv,1.3200000000000003
range,19.75-23.27
changes,0.05
companyName,BMO US High Dividend Covered Call ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZWH.TO.png
ipoDate,2014-02-14
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
