,HNU.TO
symbol,HNU.TO
price,1.95
beta,0
volAvg,6046863
mktCap,0
lastDiv,0
range,1.91-47.3
changes,-0.41
companyName,BetaPro Natural Gas Leveraged Daily Bull ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HNU.TO.png
ipoDate,2008-01-16
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
