,IAGG
symbol,IAGG
price,48.52
beta,0
volAvg,520318
mktCap,0
lastDiv,1.082
range,47.51-53.88
changes,0.09
companyName,iShares Core International Aggregate Bond ETF
currency,USD
cik,
isin,US46435G6724
cusip,46435G672
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund seeks to track the investment results of the index, which measures the performance of the global investment-grade bond market. The fund will invest at least 80% of its assets in the component securities of the underlying index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IAGG.png
ipoDate,2015-11-10
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
