,VNM
symbol,VNM
price,12.89
beta,0
volAvg,892534
mktCap,0
lastDiv,0.111
range,10.73-20.03
changes,0.24
companyName,VanEck Vietnam ETF
currency,USD
cik,
isin,US92189F8178
cusip,92189F817
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes securities of Vietnamese companies. A company is generally considered to be a Vietnamese company if it is incorporated in Vietnam or is incorporated outside of Vietnam but has at least 50% of its revenues/related assets in Vietnam. It is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VNM.png
ipoDate,2009-08-14
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
