,IBMN
symbol,IBMN
price,26.68
beta,0
volAvg,129819
mktCap,0
lastDiv,0.226
range,25.82-27.35
changes,0
companyName,iShares iBonds Dec 2025 Term Muni Bond ETF
currency,USD
cik,
isin,US46435U4325
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The index includes municipal bonds primarily from issuers that are U.S. state, federal district, or local government or agency such that the interest on the bonds is exempt from U.S. federal income taxes and the federal alternative minimum tax. The fund will invest at least 80% of its assets in the component securities of the index, and it will invest at least 90% of its assets in fixed income securities of the types included in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IBMN.png
ipoDate,2018-11-13
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
