,DON
symbol,DON
price,44.46
beta,0
volAvg,249027
mktCap,3971318853
lastDiv,1.1109999999999998
range,37.47-45.77
changes,1
companyName,WisdomTree U.S. MidCap Dividend Fund
currency,USD
cik,
isin,US97717W5058
cusip,25271C102
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of the mid-capitalization segment of the U.S. dividend-paying market. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DON.png
ipoDate,2006-06-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
