,VIXM
symbol,VIXM
price,25.13
beta,0
volAvg,108534
mktCap,0
lastDiv,0
range,25.03-37.7
changes,-0.27
companyName,ProShares VIX Mid-Term Futures ETF
currency,USD
cik,0001415311
isin,US74347W3381
cusip,74347W338
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund seeks to meet its investment objective, by taking long positions in VIX futures contracts. It will also hold cash or cash equivalents such as U.S. Treasury securities or other high credit quality, short-term fixed-income or similar securities (such as shares of money market funds) as collateral for Financial Instruments and pending investment in Financial Instruments."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VIXM.png
ipoDate,2011-01-04
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
