,REGL
symbol,REGL
price,74.73
beta,0
volAvg,113065
mktCap,0
lastDiv,1.662
range,64.2-75.634
changes,1.52
companyName,ProShares S&P MidCap 400 Dividend Aristocrats ETF
currency,USD
cik,
isin,US74347B6801
cusip,74347B680
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"Under normal circumstances, the fund will invest at least 80% of its total assets in component securities of the index. The index contains a minimum of 40 stocks which are equally weighted. No single sector is allowed to comprise more than 30% of the index weight."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/REGL.png
ipoDate,2015-02-05
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
