,RWL
symbol,RWL
price,78.42
beta,0
volAvg,83583
mktCap,0
lastDiv,1.197
range,66.68-82.68
changes,1.15
companyName,Invesco S&P 500 Revenue ETF
currency,USD
cik,
isin,US46138G6989
cusip,46138G698
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index includes positive revenue-producing constituent securities of the S&P 500® Index.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RWL.png
ipoDate,2008-02-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
