,WBIG
symbol,WBIG
price,24.06
beta,0
volAvg,3908
mktCap,0
lastDiv,0.313
range,23.6-28.78
changes,0.2724
companyName,WBI BullBear Yield 3000 ETF
currency,USD
cik,0001591939
isin,US00400R7008
cusip,00400R700
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will seek to invest in the equity securities of small-capitalization, mid-capitalization, and large capitalization domestic and foreign companies that the sub-advisor to the fund and an affiliate of the advisor, believes display attractive prospects for growth in a company's intrinsic value, and in other tactical investment opportunities. It may invest up to 50% of its net assets in the securities of issuers in emerging markets."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/WBIG.png
ipoDate,2014-08-27
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
