,XFR.TO
symbol,XFR.TO
price,20.08
beta,0
volAvg,31293
mktCap,0
lastDiv,0.44100000000000006
range,19.97-20.16
changes,0.01
companyName,iShares Floating Rate Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XFR.TO.png
ipoDate,2011-12-13
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
