,UBR
symbol,UBR
price,26.35
beta,0
volAvg,4978
mktCap,0
lastDiv,0.032
range,18.06-42.17
changes,1.0189
companyName,ProShares Ultra MSCI Brazil Capped
currency,USD
cik,
isin,US74347B4905
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is designed to measure the performance of the large and mid cap segments of the Brazilian market. It covers approximately 85% of the free float-adjusted market capitalization in Brazil. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UBR.png
ipoDate,2010-04-29
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
