,AVEM
symbol,AVEM
price,55
beta,0
volAvg,446842
mktCap,9849700960
lastDiv,1.3980000000000001
range,44.37-64.9
changes,0.15
companyName,Avantis Emerging Markets Equity ETF
currency,USD
cik,0001710607
isin,US0250726041
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests primarily in a diverse group of companies related to emerging markets across market sectors, industry groups and countries. The fund may invest in companies of all market capitalizations. Under normal market conditions, the fund will invest at least 80% of its assets in equity securities of companies related to emerging market countries."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AVEM.png
ipoDate,2019-09-19
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
