,HYEM
symbol,HYEM
price,19.02
beta,0
volAvg,217750
mktCap,0
lastDiv,1.0839999999999999
range,16.17-21.84
changes,0.04
companyName,VanEck Emerging Markets High Yield Bond ETF
currency,USD
cik,
isin,US92189F3534
cusip,92189F353
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of U.S. dollar denominated bonds issued by non-sovereign emerging market issuers that have a below investment grade rating and that are issued in the major domestic and Eurobond markets.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HYEM.png
ipoDate,2012-05-09
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
