,EWG
symbol,EWG
price,28.04
beta,0
volAvg,4007118
mktCap,2229180000
lastDiv,0.801
range,19.35-32.73
changes,0.19
companyName,iShares MSCI Germany ETF
currency,USD
cik,
isin,US4642868065
cusip,464286806
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in depositary receipts representing securities of the underlying index. The underlying index is designed to measure the performance of the large- and mid-capitalization segments of the German equity market. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EWG.png
ipoDate,1996-03-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
