,CGXU
symbol,CGXU
price,22.9
beta,0
volAvg,517034
mktCap,0
lastDiv,0.199
range,18.28-25.37
changes,0.07
companyName,Capital Group International Focus Equity ETF
currency,USD
cik,0001870130
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests primarily in common stocks of companies domiciled outside the United States, including companies domiciled in emerging markets (but in no fewer than three countries), that the investment adviser believes have the potential for growth. It normally invests at least 80% of its assets in equity securities. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CGXU.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
