,OUNZ
symbol,OUNZ
price,18.69
beta,0
volAvg,939359
mktCap,0
lastDiv,0
range,15.69-20.11
changes,0.05
companyName,VanEck Merk Gold Trust
currency,USD
cik,0001546652
isin,US9210781012
cusip,921078101
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/OUNZ.png
ipoDate,2014-05-16
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
