,FTXO
symbol,FTXO
price,28.75
beta,0
volAvg,67255
mktCap,0
lastDiv,0.77
range,25.124-36.685
changes,0.62
companyName,First Trust Nasdaq Bank ETF
currency,USD
cik,
isin,US33738R8604
cusip,33738R860
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depository receipts that comprise the underlying index. The index is designed to provide exposure to U.S. companies comprising the banking sector that have been selected based upon their liquidity and weighted based upon their cumulative score on three investing factors: volatility, value and growth. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FTXO.png
ipoDate,2016-09-20
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
