,FLSD.TO
symbol,FLSD.TO
price,18.62
beta,0
volAvg,1840
mktCap,0
lastDiv,0.06
range,18.19-19.52
changes,0.03
companyName,Franklin Bissett Short Duration Bond Active ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FLSD.TO.png
ipoDate,2019-07-08
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
