,FCUQ.TO
symbol,FCUQ.TO
price,42.26
beta,0
volAvg,4335
mktCap,0
lastDiv,0.437
range,36.58-44.57
changes,0.37
companyName,Fidelity U.S. High Quality Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FCUQ.TO.png
ipoDate,2019-01-24
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
