,KNGS
symbol,KNGS
price,18.69
beta,0
volAvg,552
mktCap,0
lastDiv,0
range,15.1-25.643
changes,0.26
companyName,Upholdings Compound Kings ETF
currency,USD
cik,0001592900
isin,
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund generally invests in securities that Upholdings believes have the potential to compound at a higher rate than the S&P 500 Index over multi-year periods. It will invest at least 60% of its total net assets in equity securities of companies of medium and large market capitalizations located in both the United States and China, primarily via Hong Kong listed securities. The fund will also invest in other international markets, including emerging markets. It is non-diversified."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/KNGS.png
ipoDate,2020-12-30
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
