,IBTK
symbol,IBTK
price,20.22
beta,0
volAvg,79814
mktCap,0
lastDiv,0.404
range,18.96-23.029
changes,0.12
companyName,iShares iBonds Dec 2030 Term Treasury ETF
currency,USD
cik,
isin,US46436E5933
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund seeks to meet its investment objective generally by investing in individual securities which satisfy the criteria of the ICE 2030 Maturity U.S. Treasury Index (the ""underlying index""). It may also invest in short-term paper, cash and cash equivalents, including shares of money market funds advised by BFA or its affiliates. The underlying index consists of publicly-issued U.S. Treasury securities that are scheduled to mature between January 1, 2030 and December 15, 2030, inclusive."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IBTK.png
ipoDate,2020-07-20
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
