,REZ
symbol,REZ
price,75.51
beta,0
volAvg,66759
mktCap,0
lastDiv,2.302
range,66.03-100.05
changes,1.89
companyName,iShares Residential and Multisector Real Estate ETF
currency,USD
cik,
isin,US4642885622
cusip,464288562
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The underlying index measures the performance of the residential apartments, manufactured homes, healthcare and self-storage real estate sectors of the U.S. equity market. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/REZ.png
ipoDate,2007-05-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
