,PMNT.TO
symbol,PMNT.TO
price,19.1
beta,0
volAvg,1230
mktCap,0
lastDiv,0.518
range,18.93-19.55
changes,0
companyName,PIMCO Global Short Maturity Fund (Canada)
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PMNT.TO.png
ipoDate,2019-02-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
