,RYE
symbol,RYE
price,74.82
beta,0
volAvg,69990
mktCap,0
lastDiv,2.4949999999999997
range,55.85-82.02
changes,0.57
companyName,Invesco S&P 500 Equal Weight Energy ETF
currency,USD
cik,
isin,
cusip,46137V365
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of all of the components of the S&P 500® Energy Index, an index that contains the common stocks of all companies included in the S&P 500® Index that are classified as members of the energy sector, as defined according to the Global Industry Classification Standard (""GICS"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RYE.png
ipoDate,2006-11-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
