,RLY
symbol,RLY
price,28.82
beta,0
volAvg,230229
mktCap,0
lastDiv,1.5599999999999998
range,25.6-32.34
changes,0.29
companyName,SPDR SSgA Multi-Asset Real Return ETF
currency,USD
cik,
isin,US78467V1035
cusip,78467V103
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the Adviser invests at least 80% of the net assets of the fund among ETPs that provide exposure to the following primary asset classes: (i) inflation protected securities issued by the United States government; (ii) domestic and international real estate securities; (iii) commodities; (iv) publicly-traded domestic and international infrastructure companies; and (iv) publicly-traded companies in natural resources and/or commodities businesses."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RLY.png
ipoDate,2012-04-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
