,URNM
symbol,URNM
price,36.52
beta,0
volAvg,369840
mktCap,0
lastDiv,4.822
range,27.001-47.425
changes,-0.68
companyName,Sprott Uranium Miners ETF
currency,USD
cik,
isin,US3015057157
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will normally invest at least 80% of its total assets in securities of the index. The index is designed to track the performance of companies that devote at least 50% of their assets to (i) mining, exploration, development, and production of uranium; and/or (ii) holding physical uranium, owning uranium royalties, or engaging in other, non-mining activities that support the uranium mining industry. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/URNM.png
ipoDate,2019-12-03
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
