,SPTI
symbol,SPTI
price,28.91
beta,0
volAvg,3734437
mktCap,0
lastDiv,0.3550000000000001
range,27.55-31.67
changes,0.12
companyName,SPDR Portfolio Intermediate Term Treasury ETF
currency,USD
cik,
isin,US78464A6727
cusip,78464A672
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally invests substantially all, but at least 80%, of its total assets in the securities comprising the index and in securities that the Adviser determines have economic characteristics that are substantially identical to the economic characteristics of the securities that comprise the index. The index is designed to measure the performance of intermediate term (3-10 years) public obligations of the U.S. Treasury."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPTI.png
ipoDate,2007-05-23
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
