,IBUY
symbol,IBUY
price,48.76
beta,0
volAvg,39960
mktCap,376719711
lastDiv,0.149
range,37.41-77.91
changes,0.94
companyName,Amplify Online Retail ETF
currency,USD
cik,0001633061
isin,US0321081020
cusip,032108102
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its net assets in global equity securities that comprise the index, which will primarily include common stocks and/or depositary receipts, such as ADRs and GDRs. The index seeks to measure the performance of global equity securities of publicly traded companies with significant revenue from the online retail business. The index methodology is designed to result in a portfolio that has the potential for capital appreciation."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IBUY.png
ipoDate,2016-04-20
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
