,VEU
symbol,VEU
price,54.5
beta,0
volAvg,4634288
mktCap,25214860673
lastDiv,1.564
range,43.06-61.49
changes,0.23
companyName,Vanguard FTSE All-World ex-US Index Fund
currency,USD
cik,
isin,US9220427754
cusip,922042775
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund employs an indexing investment approach designed to track the performance of the FTSE All-World ex US Index. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VEU.png
ipoDate,2007-03-02
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
