,EQAL
symbol,EQAL
price,43.61
beta,0
volAvg,55531
mktCap,599097739
lastDiv,0.7829999999999999
range,36.28-47.44
changes,0.83
companyName,Invesco Russell 1000 Equal Weight ETF
currency,USD
cik,
isin,US46138E4200
cusip,46138E420
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is comprised of all of the securities in the Russell 1000 ® Index, which is designed to measure the performance of the large-cap segment of the U.S. equity market and consists of the stocks of the largest 1,000 U.S. companies by market capitalization."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EQAL.png
ipoDate,2014-12-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
