,PSP
symbol,PSP
price,10.7
beta,0
volAvg,406006
mktCap,0
lastDiv,0.271
range,8.09-14.46
changes,0.03
companyName,Invesco Global Listed Private Equity ETF
currency,USD
cik,
isin,US701859F395
cusip,46137V589
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in securities (including American depositary receipts (""ADRs"") and global depositary receipts (""GDRs"")) that comprise the underlying index. The underlying index is composed of securities, ADRs and GDRs of 40 to 75 private equity companies, including business development companies (""BDCs""), master limited partnerships (""MLPs""), alternative asset managers and other entities that are listed on a nationally recognized exchange."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PSP.png
ipoDate,2006-10-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
