,BERZ
symbol,BERZ
price,20.99
beta,0
volAvg,254785
mktCap,0
lastDiv,0
range,17.785-52.25
changes,-1.05
companyName,MicroSectors Solactive FANG & Innovation -3X Inverse Leveraged ETNs
currency,USD
cik,0000927971
isin,
cusip,063679591
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,NA
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BERZ.png
ipoDate,
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
