,WEAT
symbol,WEAT
price,7.72
beta,0
volAvg,1064327
mktCap,0
lastDiv,0
range,7.15-12.75
changes,0.11
companyName,Teucrium Wheat Fund
currency,USD
cik,0001471824
isin,US88166A5083
cusip,88166A508
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to achieve its investment objective by investing in Benchmark Component Futures Contracts. Under normal market conditions, the manager expects that 100% of the fund’s assets will be invested in benchmark component futures contracts and in cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,251.572
dcf,-243.982
image,https://financialmodelingprep.com/image-stock/WEAT.png
ipoDate,2011-09-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
