,HQD.TO
symbol,HQD.TO
price,7.56
beta,0
volAvg,1461303
mktCap,0
lastDiv,0
range,5.79-10.62
changes,-0.24
companyName,BetaPro NASDAQ-100 -2x Daily Bear ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HQD.TO.png
ipoDate,2008-07-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
