,FQAL
symbol,FQAL
price,47.08
beta,0
volAvg,34308
mktCap,0
lastDiv,0.495
range,40.565-53.7
changes,0.77
companyName,Fidelity Quality Factor ETF
currency,USD
cik,
isin,US3160927907
cusip,316092790
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund normally invests at least 80% of assets in securities included in the Fidelity U.S. Quality Factor Index?, which is designed to reflect the performance of stocks of large and mid-capitalization U.S. companies with a higher quality profile than the broader market. It may lend securities to earn income for the fund."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FQAL.png
ipoDate,2016-09-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
