,BSCN
symbol,BSCN
price,21.03
beta,0
volAvg,1035193
mktCap,667351657
lastDiv,0.33100000000000007
range,20.82-21.34
changes,0
companyName,Invesco BulletShares 2023 Corporate Bond ETF
currency,USD
cik,
isin,US46138J8669
cusip,46138J866
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment grade corporate bonds with maturities or, in some cases, ""effective maturities"" in the year 2023 (collectively, ""2023 Bonds"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSCN.png
ipoDate,2014-09-17
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
