,TUR
symbol,TUR
price,33.9
beta,0
volAvg,367744
mktCap,530535000
lastDiv,0.728
range,17.2-38.17
changes,-0.39
companyName,iShares MSCI Turkey ETF
currency,USD
cik,
isin,US4642867158
cusip,464286715
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The underlying index is designed to measure the performance of the large-, mid- and small-capitalization segments of the Turkish equity market. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TUR.png
ipoDate,2008-03-26
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
