,IJK
symbol,IJK
price,73.19
beta,0
volAvg,330562
mktCap,2477481646
lastDiv,0.739
range,61.44-80.32
changes,1.63
companyName,iShares S&P Mid-Cap 400 Growth ETF
currency,USD
cik,
isin,US4642876068
cusip,464287606
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IJK.png
ipoDate,2000-07-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
