,IHY
symbol,IHY
price,20.47
beta,0
volAvg,33042
mktCap,5904073588
lastDiv,0.8049999999999999
range,17.6-23.52
changes,0.01
companyName,VanEck International High Yield Bond ETF
currency,USD
cik,
isin,US92189F4458
cusip,92189F445
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of below investment grade bonds issued by corporations located throughout the world (which may include emerging market countries) excluding the United States denominated in Euros, U.S. dollars, Canadian dollars or pound sterling and issued in the major domestic or Eurobond markets."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IHY.png
ipoDate,2012-04-02
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
