,ZCH.TO
symbol,ZCH.TO
price,17.01
beta,0
volAvg,23120
mktCap,0
lastDiv,0.18
range,10.91-20.19
changes,-0.29
companyName,BMO MSCI China ESG Leaders Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZCH.TO.png
ipoDate,2010-01-25
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
