,SGDJ
symbol,SGDJ
price,32.11
beta,0
volAvg,29124
mktCap,0
lastDiv,0.709
range,21.613-46.79
changes,0.0026
companyName,Sprott Junior Gold Miners ETF
currency,USD
cik,0001414040
isin,US85210B2016
cusip,85210B201
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 90% of its net assets in securities that comprise the underlying index. The underlying index aims to track the performance of ""junior"" gold companies primarily located in the U.S., Canada and Australia whose common stock, American Depositary Receipts (""ADRs"") or Global Depositary Receipts (""GDRs"") are traded on a regulated stock exchange in the form of shares tradeable for foreign investors without any restrictions. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SGDJ.png
ipoDate,2015-03-31
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
