,QQQJ
symbol,QQQJ
price,26.22
beta,0
volAvg,178434
mktCap,0
lastDiv,0.18
range,21.145-31.29
changes,0.43
companyName,Invesco NASDAQ Next Gen 100 ETF
currency,USD
cik,
isin,US46138G6310
cusip,46138G631
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. Strictly in accordance with its guidelines and mandated procedures, Nasdaq, Inc. compiles, maintains and calculates the underlying index, which is comprised of securities of the next generation of Nasdaq-listed non-financial companies; that is, the largest 100 Nasdaq-listed companies outside of the NASDAQ-100 Index® (the “NASDAQ-100”) based on market capitalization. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/QQQJ.png
ipoDate,2020-10-13
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
