,JPIB
symbol,JPIB
price,47.45
beta,0
volAvg,70701
mktCap,0
lastDiv,1.367
range,43.87-50.13
changes,0.2
companyName,JPMorgan International Bond Opportunities ETF
currency,USD
cik,
isin,US46641Q8520
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"Under normal circumstances, the fund will invest at least 80% of its assets in bonds. ""Assets"" means net assets plus the amount of borrowings for investment purposes. The fund's assets are invested primarily in debt securities of issuers located in countries other than the United States. It may invest in developed or emerging markets, including sovereign debt issued by countries in developed and emerging markets. In managing the fund, the adviser will seek to diversify the fund's portfolio by investing in issuers in at least three countries other than the U.S. under normal circumstances."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JPIB.png
ipoDate,2017-04-15
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
