,PPH
symbol,PPH
price,78.34
beta,0
volAvg,140477
mktCap,904591980
lastDiv,1.203
range,66.59-84.27
changes,0.79
companyName,VanEck Pharmaceutical ETF
currency,USD
cik,
isin,US92189F6925
cusip,92189F692
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes common stocks and depositary receipts of U.S. exchange-listed companies in the pharmaceutical industry. Such companies may include medium-capitalization companies and foreign companies that are listed on a U.S. exchange. It is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PPH.png
ipoDate,2000-02-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
