,DBEF
symbol,DBEF
price,34.72
beta,0
volAvg,817188
mktCap,5001771116
lastDiv,4.97
range,32.16-38.89
changes,0.14
companyName,Xtrackers MSCI EAFE Hedged Equity ETF
currency,USD
cik,0001503123
isin,US2330512003
cusip,233051200
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund, using a ""passive"" or indexing investment approach, seeks investment results that correspond generally to the performance, before fees and expenses, of the underlying index, which is designed to track developed market performance while mitigating exposure to fluctuations between the value of the U.S. dollar and the currencies of the countries included in the underlying index. It will invest at least 80% of its total assets in component securities of the underlying index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DBEF.png
ipoDate,2011-06-09
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
