,FAS
symbol,FAS
price,88.34
beta,0
volAvg,1024454
mktCap,1682403851
lastDiv,0.671
range,49.62-149.84
changes,3.23
companyName,Direxion Daily Financial Bull 3X Shares
currency,USD
cik,0001424958
isin,US25459Y6941
cusip,25459Y694
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index includes securities of companies from the following industries: Banks; Thrifts & Mortgage Finance; Diversified Financial Services; Consumer Finance; capital markets; Insurance; and Mortgage REITs. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FAS.png
ipoDate,2008-11-06
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
