,DRIP
symbol,DRIP
price,13.61
beta,0
volAvg,4586130
mktCap,62154584
lastDiv,0.003
range,10.66-42.3
changes,0.58
companyName,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares
currency,USD
cik,0001424958
isin,US25460G6585
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse (opposite) or short leveraged exposure to the index equal to at least 80% of the fund's net assets (plus borrowing for investment purposes). The index is designed to measure the performance of the oil and gas exploration and production sub-industry determined based on the GICS. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DRIP.png
ipoDate,2015-05-28
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
