,FINX
symbol,FINX
price,22.21
beta,0
volAvg,204885
mktCap,351816861
lastDiv,0.052
range,18.35-35.33
changes,0.385
companyName,Global X FinTech ETF
currency,USD
cik,
isin,US37954Y8140
cusip,37954Y814
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that provide financial technology products and services, including companies involved in mobile payments, peer-to-peer (P2P) and marketplace lending, financial analytics software and alternative currencies, as defined by the index provider. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FINX.png
ipoDate,2016-09-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
