,UTWO
symbol,UTWO
price,49.11
beta,0
volAvg,82911
mktCap,0
lastDiv,0
range,48.63-49.99
changes,0.04
companyName,US Treasury 2 Year Note ETF
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal market conditions, the Adviser seeks to achieve the investment objective by investing at least 80% of net assets (plus any borrowings for investment purposes) in the component securities of the index. The index is a one-security index comprised of the most recently issued 2-year US Treasury note."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UTWO.png
ipoDate,2022-08-09
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
