,CMSA
symbol,CMSA
price,24.7
beta,0.107465
volAvg,11391
mktCap,6955520000
lastDiv,1.408
range,21.37-26.26
changes,0.05
companyName,CMS Energy Corporation 5.6% JRSUB NT 78
currency,USD
cik,0000811156
isin,
cusip,125896860
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CMSA.png
ipoDate,2018-03-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
